,no_items,total_value
0,11,368.7306560254245
1,11,298.9830531822643
2,9,343.28502329131067
3,9,374.57260074135104
4,10,55.555893503978695
5,14,315.8499006678865
6,12,87.03128850313311
7,2,351.09913674459494
8,1,367.14513862630776
9,10,83.64146415787833
10,10,391.74072180596875
11,12,388.4727240846327
12,10,109.61636248502302
13,3,358.5986031833649
14,10,344.0226540522647
15,10,355.9128251096805
16,2,115.8817800900629
17,1,328.27398131559215
18,11,329.28968436514447
19,10,369.3454238066535
20,11,112.04386915577298
21,5,354.2180065527066
22,2,368.8200498087717
23,3,377.5726768806403
24,11,365.77580680840606
25,7,306.215977854616
26,11,84.5551600009552
27,3,98.70659306117658
28,2,375.0580841914013
29,9,79.30673562632802
30,3,319.4691141435935
31,10,337.6637060945403
32,2,352.9586381998101
33,15,352.322147107012
34,11,127.73215439805011
35,12,357.66046454556954
36,2,338.99501482114886
37,10,288.73094838308555
38,2,96.4513180374727
39,3,342.6603361215946
40,2,127.44017264376221
41,11,327.08470436643825
42,3,118.15337430783305
43,12,155.44826811003722
44,10,370.13077577414043
45,2,89.01274784171281
46,1,354.339604058979
47,3,338.24030149150286
48,2,330.39794276003533
49,3,346.3143225206784
50,2,348.5851517519072
51,2,358.82576216371444
52,5,335.5453833131901
53,9,98.3223287695977
54,3,92.54022362450284
55,11,346.68000399924887
56,2,75.21168966766221
57,3,390.27171731075896
58,3,72.00592308724515
59,12,323.62116222091345
60,2,80.8793464523021
61,8,376.4371066240589
62,12,331.63421018576577
63,3,73.00818738038413
64,3,356.90317694020325
65,10,334.7856736625467
66,12,301.39497489757395
67,2,105.04583169153145
68,14,371.3195033954876
69,2,88.87936484616506
70,2,333.58640170802556
71,2,361.6620005972681
72,11,367.33356621676484
73,7,119.04079142118417
74,9,338.7015888120786
75,2,101.96964940681622
76,9,294.3882941048452
77,2,306.22536605876763
78,2,387.3256514048511
79,15,53.32172214248085
80,4,360.49479423292456
81,3,372.59409492982866
82,10,381.6295360314305
83,9,337.67023802084844
84,13,297.89734929105583
85,1,58.31316036310889
86,10,367.38553239026544
87,2,321.21922044048193
88,12,327.69348961267957
89,11,314.0141704260429
90,3,366.5196572461277
91,2,315.1131051764263
92,2,361.98169313583793
93,5,339.52285206922556
94,2,93.98354884989678
95,2,362.33770484650654
96,2,131.6963509139527
97,2,375.5793188309574
98,11,383.46450530547764
99,7,363.5285273610954
100,9,328.6191556018488
101,3,339.03436542530375
102,9,112.03234232406624
103,2,372.83520012410577
104,2,130.99021217129334
105,12,330.36524338980604
106,2,131.854807353297
107,2,322.88448002392624
108,11,68.46261152490383
109,10,371.8119823415729
110,9,349.6196849687889
111,2,328.84699744664294
112,10,385.2959228391458
113,2,128.6435859457037
114,12,356.730130118126
115,2,345.28932019093867
116,9,354.9357172099157
117,12,66.26948390308233
118,3,400.962520717501
119,1,345.1532436114153
120,12,97.70412043213445
121,2,363.70913073505267
122,12,345.32082729752585
123,2,368.93634298284877
124,8,333.4662823335464
125,2,325.2803108328575
126,11,296.32709651937927
127,14,318.19265792951126
128,8,76.07672546381849
129,2,332.86072331751944
130,10,374.5651911058532
131,3,371.633537862782
132,2,345.19256215345155
133,14,108.81510606253322
134,11,72.01722720946417
135,3,371.89107432916455
136,10,88.312291787918
137,3,136.704983767085
138,9,92.83523520910848
139,14,108.07929515759315
140,9,374.44139375582927
141,11,121.53228397977722
142,10,377.2389372851409
143,11,127.20087341493984
144,1,105.79948045608619
145,2,382.2604772745223
146,2,341.6734520424399
147,3,97.56208041662849
148,10,350.6348509010229
149,11,341.89617358865576
150,14,92.65835529454066
151,2,365.2063803712005
152,10,118.60630998083975
153,2,343.58411839477697
154,11,322.3602871268001
155,9,329.57349702108314
156,3,126.54967375462931
157,12,357.7008706381495
158,8,336.78124973788965
159,3,331.61037445096156
160,2,95.79203163444502
161,12,79.7155979640111
162,2,368.9022502155016
163,8,107.64761495288465
164,9,333.1761861964715
165,2,114.93465348851939
166,9,353.41823492720533
167,2,91.51730772130733
168,3,309.6077626404948
169,3,112.19956211968318
170,2,94.90896561219057
171,3,379.6448625328733
172,9,349.4177904180036
173,15,99.01387269102071
174,13,326.47646677946756
175,3,341.1030026666696
176,2,311.0230083206127
177,14,100.55541626166087
178,12,131.02303747662398
179,9,391.22199910511847
180,13,119.52837317543745
181,10,360.4697626404089
182,2,358.82373331590884
183,11,360.61710478999913
184,2,331.9855976836549
185,11,371.54809065809684
186,2,343.8140297814304
187,15,329.1782353994565
188,3,389.4661285200889
189,2,76.62502192766719
